district,latitude,longitude,population,area_km2
강남구,37.5172,127.0473,540000,39.5
강동구,37.5301,127.1238,432000,24.6
강북구,37.6396,127.0257,313000,23.6
강서구,37.5509,126.8495,601000,41.4
관악구,37.4784,126.9516,506000,29.6
광진구,37.5384,127.0822,355000,17.1
구로구,37.4954,126.8874,418000,20.1
금천구,37.4519,126.8955,238000,13.0
노원구,37.6542,127.0568,535000,35.4
도봉구,37.6688,127.0471,334000,20.7
동대문구,37.5744,127.0396,348000,14.2
동작구,37.5124,126.9393,398000,16.4
마포구,37.5663,126.9019,376000,23.9
서대문구,37.5791,126.9368,315000,17.6
서초구,37.4837,127.0324,433000,47.0
성동구,37.5634,127.0367,301000,16.9
성북구,37.5894,127.0167,448000,24.6
송파구,37.5145,127.1059,671000,33.9
양천구,37.517,126.8664,461000,17.4
영등포구,37.5264,126.8962,380000,24.6
용산구,37.5326,126.99,231000,21.9
은평구,37.6027,126.929,483000,29.7
종로구,37.573,126.9794,156000,23.9
중구,37.5641,126.9979,129000,9.96
중랑구,37.6063,127.0925,406000,18.5
